IPProto,SrcIP,SrcPort,DstIp,DstPort,UID,App,PackageName,Proto,Status,Info,BytesSent,BytesRcvd,PktsSent,PktsRcvd,FirstSeen,LastSeen
6,10.215.173.1,48242,34.117.147.68,443,10265,Movie,com.movievn.cinevi,HTTPS,Cerrado,rt.applovin.com,5194,6014,13,11,2026-09-15T17:55:50.080-06:00,2026-09-15T17:55:51.384-06:00
17,10.215.173.1,56131,10.215.173.2,53,10265,Movie,com.movievn.cinevi,DNS,Cerrado,cdn2.inner-active.mobi,68,130,1,1,2026-09-15T17:55:50.269-06:00,2026-09-15T17:55:50.400-06:00
6,10.215.173.1,47604,128.14.133.169,443,10265,Movie,com.movievn.cinevi,HTTPS,Error,sdkapi-ga.biggogo.com,2170,8344,10,8,2026-09-15T17:55:50.393-06:00,2026-09-15T17:55:51.762-06:00
6,10.215.173.1,43172,146.75.95.52,443,10265,Movie,com.movievn.cinevi,HTTPS,Error,cdn2.inner-active.mobi,1359,6232,10,9,2026-09-15T17:55:50.435-06:00,2026-09-15T17:55:51.842-06:00
6,10.215.173.1,40360,146.75.95.52,443,10265,Movie,com.movievn.cinevi,HTTPS,Error,cdn2.inner-active.mobi,1778,4816,12,10,2026-09-15T17:55:50.836-06:00,2026-09-15T17:55:52.657-06:00
17,10.215.173.1,17823,10.215.173.2,53,10265,Movie,com.movievn.cinevi,DNS,Cerrado,configv2.unityads.unity3d.com,75,143,1,1,2026-09-15T17:55:50.909-06:00,2026-09-15T17:55:51.183-06:00
17,10.215.173.1,58687,10.215.173.2,53,10265,Movie,com.movievn.cinevi,DNS,Cerrado,api.bidmachine.io,63,95,1,1,2026-09-15T17:55:50.944-06:00,2026-09-15T17:55:51.182-06:00
17,10.215.173.1,60753,10.215.173.2,53,10265,Movie,com.movievn.cinevi,DNS,Cerrado,sdkapi.dsp-api.moloco.com,71,87,1,1,2026-09-15T17:55:50.965-06:00,2026-09-15T17:55:51.182-06:00
17,10.215.173.1,53837,10.215.173.2,53,10265,Movie,com.movievn.cinevi,DNS,Cerrado,stun.l.google.com,63,79,1,1,2026-09-15T17:55:51.065-06:00,2026-09-15T17:55:51.251-06:00
17,10.215.173.1,44849,10.215.173.2,53,10265,Movie,com.movievn.cinevi,DNS,Cerrado,i-sdk.mediation.unity3d.com,73,137,1,1,2026-09-15T17:55:51.128-06:00,2026-09-15T17:55:51.345-06:00
6,10.215.173.1,37502,34.54.122.72,443,10265,Movie,com.movievn.cinevi,HTTPS,Error,sdkapi.dsp-api.moloco.com,2398,9805,13,11,2026-09-15T17:55:51.209-06:00,2026-09-15T17:55:52.701-06:00
6,10.215.173.1,38618,34.110.229.214,443,10265,Movie,com.movievn.cinevi,HTTPS,Error,configv2.unityads.unity3d.com,5438,20114,20,18,2026-09-15T17:55:51.224-06:00,2026-09-15T17:55:52.659-06:00
6,10.215.173.1,40428,104.18.2.182,443,10265,Movie,com.movievn.cinevi,HTTPS,Error,api.bidmachine.io,2586,11669,12,12,2026-09-15T17:55:51.233-06:00,2026-09-15T17:55:52.517-06:00
17,10.215.173.1,7100,47.253.51.203,7202,10265,Movie,com.movievn.cinevi,UDP,Cerrado,,2404,1940,23,22,2026-09-15T17:55:51.352-06:00,2026-09-15T17:56:38.614-06:00
17,192.168.1.64,38061,74.125.250.129,3478,10265,Movie,com.movievn.cinevi,STUN,Cerrado,stun.l.google.com,144,180,3,3,2026-09-15T17:55:51.368-06:00,2026-09-15T17:55:57.604-06:00
6,10.215.173.1,39860,13.226.15.16,443,10265,Movie,com.movievn.cinevi,HTTPS,Error,i-sdk.mediation.unity3d.com,2596,10523,11,9,2026-09-15T17:55:51.379-06:00,2026-09-15T17:55:52.517-06:00
6,10.215.173.1,44052,128.14.133.169,443,10265,Movie,com.movievn.cinevi,HTTPS,Cerrado,sdkapi-ga.biggogo.com,2111,8720,11,10,2026-09-15T17:55:51.825-06:00,2026-09-15T17:55:53.074-06:00
6,10.215.173.1,44060,128.14.133.169,443,10265,Movie,com.movievn.cinevi,HTTPS,Error,sdkapi-ga.biggogo.com,2170,8344,10,8,2026-09-15T17:55:51.858-06:00,2026-09-15T17:55:52.971-06:00
17,10.215.173.1,63480,10.215.173.2,53,10265,Movie,com.movievn.cinevi,DNS,Cerrado,sdkopmetrics-us.dsp-api.moloco.com,80,96,1,1,2026-09-15T17:55:51.873-06:00,2026-09-15T17:55:52.026-06:00
6,10.215.173.1,44070,128.14.133.169,443,10265,Movie,com.movievn.cinevi,HTTPS,Error,sdkapi-ga.biggogo.com,2206,8464,13,11,2026-09-15T17:55:51.996-06:00,2026-09-15T17:55:53.603-06:00
6,10.215.173.1,44072,128.14.133.169,443,10265,Movie,com.movievn.cinevi,HTTPS,Cerrado,sdkapi-ga.biggogo.com,2126,8424,11,10,2026-09-15T17:55:52.009-06:00,2026-09-15T17:55:53.276-06:00
17,10.215.173.1,7042,10.215.173.2,53,10265,Movie,com.movievn.cinevi,DNS,Cerrado,googleads.g.doubleclick.net,73,89,1,1,2026-09-15T17:55:52.014-06:00,2026-09-15T17:55:52.080-06:00
6,10.215.173.1,43634,34.110.173.122,443,10265,Movie,com.movievn.cinevi,HTTPS,Cerrado,sdkopmetrics-us.dsp-api.moloco.com,1575,8211,10,9,2026-09-15T17:55:52.063-06:00,2026-09-15T17:55:53.278-06:00
6,10.215.173.1,41028,142.251.45.34,443,10265,Movie,com.movievn.cinevi,HTTPS,Cerrado,googleads.g.doubleclick.net,3426,6641,15,14,2026-09-15T17:55:52.124-06:00,2026-09-15T17:55:52.962-06:00
17,10.215.173.1,65113,10.215.173.2,53,10265,Movie,com.movievn.cinevi,DNS,Cerrado,o-sdk.mediation.unity3d.com,73,137,1,1,2026-09-15T17:55:52.177-06:00,2026-09-15T17:55:52.414-06:00
17,10.215.173.1,21005,10.215.173.2,53,10265,Movie,com.movievn.cinevi,DNS,Cerrado,cdn.iads.unity3d.com,66,82,1,1,2026-09-15T17:55:52.381-06:00,2026-09-15T17:55:52.465-06:00
6,10.215.173.1,43238,3.174.207.76,443,10265,Movie,com.movievn.cinevi,HTTPS,Cerrado,o-sdk.mediation.unity3d.com,2721,5883,13,13,2026-09-15T17:55:52.464-06:00,2026-09-15T17:55:54.693-06:00
6,10.215.173.1,43712,13.226.180.79,443,10265,Movie,com.movievn.cinevi,HTTPS,Error,cdn.iads.unity3d.com,1418,17340,14,13,2026-09-15T17:55:52.493-06:00,2026-09-15T17:55:53.914-06:00
6,10.215.173.1,43242,3.174.207.76,443,10265,Movie,com.movievn.cinevi,HTTPS,Error,o-sdk.mediation.unity3d.com,3399,5803,12,11,2026-09-15T17:55:52.499-06:00,2026-09-15T17:55:54.976-06:00
6,10.215.173.1,43254,3.174.207.76,443,10265,Movie,com.movievn.cinevi,HTTPS,Cerrado,o-sdk.mediation.unity3d.com,2734,5843,13,12,2026-09-15T17:55:52.600-06:00,2026-09-15T17:55:54.708-06:00
17,10.215.173.1,43515,10.215.173.2,53,10265,Movie,com.movievn.cinevi,DNS,Cerrado,ms4.applovin.com,62,78,1,1,2026-09-15T17:55:52.904-06:00,2026-09-15T17:55:52.975-06:00
6,10.215.173.1,37546,34.102.162.219,443,10265,Movie,com.movievn.cinevi,HTTPS,Cerrado,ms4.applovin.com,14440,10598,17,18,2026-09-15T17:55:52.978-06:00,2026-09-15T17:55:55.247-06:00
6,10.215.173.1,43760,34.111.80.193,443,10265,Movie,com.movievn.cinevi,HTTPS,Cerrado,sts.applovin.com,2618,5708,13,12,2026-09-15T17:55:53.393-06:00,2026-09-15T17:55:55.251-06:00
6,10.215.173.1,43724,13.226.180.79,443,10265,Movie,com.movievn.cinevi,HTTPS,Cerrado,cdn.iads.unity3d.com,3090,7910,16,12,2026-09-15T17:55:53.505-06:00,2026-09-15T17:55:53.912-06:00
6,10.215.173.1,44078,128.14.133.169,443,10265,Movie,com.movievn.cinevi,HTTPS,Cerrado,sdkapi-ga.biggogo.com,2027,9329,11,12,2026-09-15T17:55:54.015-06:00,2026-09-15T17:55:55.255-06:00
6,10.215.173.1,44082,128.14.133.169,443,10265,Movie,com.movievn.cinevi,HTTPS,Cerrado,sdkapi-ga.biggogo.com,2011,9065,10,11,2026-09-15T17:55:54.025-06:00,2026-09-15T17:55:55.395-06:00
17,10.215.173.1,49836,10.215.173.2,53,10265,Movie,com.movievn.cinevi,DNS,Cerrado,configure-tcp-android.mtgglobals.com,82,200,1,1,2026-09-15T17:55:54.135-06:00,2026-09-15T17:55:54.248-06:00
17,10.215.173.1,60854,10.215.173.2,53,10265,Movie,com.movievn.cinevi,DNS,Cerrado,vg-new-ssplib-hb.mtgglobals.com,77,93,1,1,2026-09-15T17:55:54.152-06:00,2026-09-15T17:55:54.248-06:00
6,10.215.173.1,44086,128.14.133.169,443,10265,Movie,com.movievn.cinevi,HTTPS,Error,sdkapi-ga.biggogo.com,2086,8384,10,9,2026-09-15T17:55:54.157-06:00,2026-09-15T17:55:55.250-06:00
6,10.215.173.1,44098,128.14.133.169,443,10265,Movie,com.movievn.cinevi,HTTPS,Cerrado,sdkapi-ga.biggogo.com,2126,8464,11,11,2026-09-15T17:55:54.160-06:00,2026-09-15T17:55:56.296-06:00
6,10.215.173.1,44110,128.14.133.169,443,10265,Movie,com.movievn.cinevi,HTTPS,Error,sdkapi-ga.biggogo.com,2206,8504,13,12,2026-09-15T17:55:54.222-06:00,2026-09-15T17:55:56.242-06:00
6,10.215.173.1,44124,128.14.133.169,443,10265,Movie,com.movievn.cinevi,HTTPS,Error,sdkapi-ga.biggogo.com,2286,8584,15,14,2026-09-15T17:55:54.241-06:00,2026-09-15T17:55:56.556-06:00
6,10.215.173.1,44138,128.14.133.169,443,10265,Movie,com.movievn.cinevi,HTTPS,Error,sdkapi-ga.biggogo.com,2290,8504,13,12,2026-09-15T17:55:54.247-06:00,2026-09-15T17:55:56.679-06:00
6,10.215.173.1,44770,3.221.10.78,9377,10265,Movie,com.movievn.cinevi,TCP,Cerrado,configure-tcp-android.mtgglobals.com,1266,857,7,6,2026-09-15T17:55:54.253-06:00,2026-09-15T17:55:55.251-06:00
6,10.215.173.1,37922,47.253.101.143,443,10265,Movie,com.movievn.cinevi,TLS,Cerrado,vg-new-ssplib-hb.mtgglobals.com,2739,8510,15,17,2026-09-15T17:55:54.255-06:00,2026-09-15T17:55:56.050-06:00
6,10.215.173.1,44154,128.14.133.169,443,10265,Movie,com.movievn.cinevi,HTTPS,Cerrado,sdkapi-ga.biggogo.com,4476,9310,16,14,2026-09-15T17:55:54.263-06:00,2026-09-15T17:56:15.086-06:00
17,10.215.173.1,41969,10.215.173.2,53,10265,Movie,com.movievn.cinevi,DNS,Cerrado,movievn.j5t2n.com,63,187,1,1,2026-09-15T17:55:54.296-06:00,2026-09-15T17:55:54.329-06:00
17,10.215.173.1,56435,10.215.173.2,53,10265,Movie,com.movievn.cinevi,DNS,Cerrado,movievn.j5t2n.com,63,169,1,1,2026-09-15T17:55:54.298-06:00,2026-09-15T17:55:54.337-06:00
6,10.215.173.1,44076,13.249.38.120,80,10265,Movie,com.movievn.cinevi,HTTP,Cerrado,movievn.j5t2n.com,794,28716,14,14,2026-09-15T17:55:54.344-06:00,2026-09-15T17:55:55.252-06:00
17,10.215.173.1,29400,10.215.173.2,53,10265,Movie,com.movievn.cinevi,DNS,Cerrado,ae.iads.unity3d.com,65,129,1,1,2026-09-15T17:55:54.352-06:00,2026-09-15T17:55:54.427-06:00
6,10.215.173.1,41978,3.161.20.28,443,10265,Movie,com.movievn.cinevi,HTTPS,Cerrado,ae.iads.unity3d.com,3957,6997,16,14,2026-09-15T17:55:54.431-06:00,2026-09-15T17:55:55.283-06:00
6,10.215.173.1,37080,13.249.38.120,443,10265,Movie,com.movievn.cinevi,HTTPS,Cerrado,movievn.j5t2n.com,2871,73366,50,50,2026-09-15T17:55:54.657-06:00,2026-09-15T17:55:57.646-06:00
6,10.215.173.1,37096,13.249.38.120,443,10265,Movie,com.movievn.cinevi,HTTPS,Error,movievn.j5t2n.com,3331,111766,62,63,2026-09-15T17:55:54.659-06:00,2026-09-15T17:55:57.373-06:00
6,10.215.173.1,37104,13.249.38.120,443,10265,Movie,com.movievn.cinevi,HTTPS,Error,movievn.j5t2n.com,4491,178721,91,93,2026-09-15T17:55:54.663-06:00,2026-09-15T17:55:57.581-06:00
6,10.215.173.1,41988,3.161.20.28,443,10265,Movie,com.movievn.cinevi,HTTPS,Cerrado,ae.iads.unity3d.com,2179,6534,9,9,2026-09-15T17:55:54.683-06:00,2026-09-15T17:55:55.317-06:00
6,10.215.173.1,44082,13.249.38.120,80,10265,Movie,com.movievn.cinevi,HTTP,Cerrado,movievn.j5t2n.com,43790,2248575,1089,1252,2026-09-15T17:55:55.114-06:00,2026-09-15T17:56:02.725-06:00
17,10.215.173.1,44174,10.215.173.2,53,10265,Movie,com.movievn.cinevi,DNS,Cerrado,cdn-adn-https-new.mtgglobals.com,78,185,1,1,2026-09-15T17:55:55.676-06:00,2026-09-15T17:55:56.047-06:00
17,10.215.173.1,14943,10.215.173.2,53,10265,Movie,com.movievn.cinevi,DNS,Cerrado,logs.ads.vungle.com,65,193,1,1,2026-09-15T17:55:55.927-06:00,2026-09-15T17:55:56.234-06:00
6,10.215.173.1,46286,13.226.204.4,443,10265,Movie,com.movievn.cinevi,HTTPS,Error,cdn-adn-https-new.mtgglobals.com,1302,9767,11,11,2026-09-15T17:55:56.054-06:00,2026-09-15T17:55:58.183-06:00
6,10.215.173.1,48012,44.215.223.155,443,10265,Movie,com.movievn.cinevi,HTTPS,Cerrado,logs.ads.vungle.com,2162,6210,15,15,2026-09-15T17:55:56.243-06:00,2026-09-15T17:56:00.287-06:00
17,10.215.173.1,56939,10.215.173.2,53,10265,Movie,com.movievn.cinevi,DNS,Cerrado,prod-mediate-events.applovin.com,78,94,1,1,2026-09-15T17:55:56.719-06:00,2026-09-15T17:55:56.877-06:00
6,10.215.173.1,46298,13.226.204.4,443,10265,Movie,com.movievn.cinevi,HTTPS,Cerrado,cdn-adn-https-new.mtgglobals.com,2159,61144,33,40,2026-09-15T17:55:56.733-06:00,2026-09-15T17:55:57.668-06:00
6,10.215.173.1,44168,128.14.133.169,443,10265,Movie,com.movievn.cinevi,HTTPS,Cerrado,sdkapi-ga.biggogo.com,2210,1346,11,10,2026-09-15T17:55:56.742-06:00,2026-09-15T17:56:37.724-06:00
6,10.215.173.1,37550,34.102.162.219,443,10265,Movie,com.movievn.cinevi,HTTPS,Cerrado,prod-mediate-events.applovin.com,4326,5967,13,12,2026-09-15T17:55:56.881-06:00,2026-09-15T17:56:01.791-06:00
6,10.215.173.1,37564,34.102.162.219,443,10265,Movie,com.movievn.cinevi,HTTPS,Error,prod-mediate-events.applovin.com,4356,5992,13,12,2026-09-15T17:55:56.884-06:00,2026-09-15T17:56:37.239-06:00
6,10.215.173.1,37568,34.102.162.219,443,10265,Movie,com.movievn.cinevi,HTTPS,Cerrado,ms4.applovin.com,30354,8998,18,17,2026-09-15T17:55:57.378-06:00,2026-09-15T17:55:59.958-06:00
17,10.215.173.1,61569,10.215.173.2,53,10265,Movie,com.movievn.cinevi,DNS,Cerrado,api16-access-wf-sg.pangle.io,74,353,1,1,2026-09-15T17:55:59.733-06:00,2026-09-15T17:56:00.316-06:00
6,10.215.173.1,41076,189.247.167.11,443,10265,Movie,com.movievn.cinevi,HTTPS,Cerrado,api16-access-wf-sg.pangle.io,12875,5514,13,12,2026-09-15T17:56:00.325-06:00,2026-09-15T17:56:01.762-06:00
6,10.215.173.1,46208,44.215.223.155,443,10265,Movie,com.movievn.cinevi,HTTPS,Cerrado,logs.ads.vungle.com,2123,6334,17,17,2026-09-15T17:56:00.932-06:00,2026-09-15T17:56:04.521-06:00
17,10.215.173.1,2722,10.215.173.2,53,10265,Movie,com.movievn.cinevi,DNS,Cerrado,movievn.j5t2n.com,63,187,1,1,2026-09-15T17:56:02.695-06:00,2026-09-15T17:56:02.711-06:00
17,10.215.173.1,26643,10.215.173.2,53,10265,Movie,com.movievn.cinevi,DNS,Cerrado,movievn.j5t2n.com,63,169,1,1,2026-09-15T17:56:02.699-06:00,2026-09-15T17:56:02.716-06:00
6,10.215.173.1,37066,13.226.204.7,80,10265,Movie,com.movievn.cinevi,HTTP,Cerrado,movievn.j5t2n.com,38110,2809765,947,1181,2026-09-15T17:56:02.722-06:00,2026-09-15T17:56:07.387-06:00
17,10.215.173.1,7100,209.178.128.102,7100,10265,Movie,com.movievn.cinevi,UDP,Error,,39,0,1,0,2026-09-15T17:56:02.791-06:00,2026-09-15T17:56:02.791-06:00
17,10.215.173.1,7100,189.203.99.208,10338,10265,Movie,com.movievn.cinevi,UDP,Cerrado,,195,0,5,0,2026-09-15T17:56:02.792-06:00,2026-09-15T17:56:33.170-06:00
17,10.215.173.1,7100,200.92.184.76,7100,10265,Movie,com.movievn.cinevi,UDP,Cerrado,,2073,450811,9,361,2026-09-15T17:56:02.794-06:00,2026-09-15T17:56:31.033-06:00
17,10.215.173.1,7100,209.91.201.164,7102,10265,Movie,com.movievn.cinevi,UDP,Inalcanzable,,39,0,1,0,2026-09-15T17:56:02.795-06:00,2026-09-15T17:56:02.795-06:00
17,10.215.173.1,7100,172.56.124.138,41869,10265,Movie,com.movievn.cinevi,UDP,Cerrado,,195,195,5,5,2026-09-15T17:56:02.797-06:00,2026-09-15T17:56:36.771-06:00
17,10.215.173.1,7100,177.245.177.41,10943,10265,Movie,com.movievn.cinevi,UDP,Cerrado,,16974,3574115,70,2841,2026-09-15T17:56:02.800-06:00,2026-09-15T17:56:32.132-06:00
17,10.215.173.1,7100,174.101.213.178,7103,10265,Movie,com.movievn.cinevi,UDP,Cerrado,,3335,427951,15,345,2026-09-15T17:56:02.802-06:00,2026-09-15T17:56:38.864-06:00
17,10.215.173.1,7100,201.138.209.154,4116,10265,Movie,com.movievn.cinevi,UDP,Cerrado,,195,0,5,0,2026-09-15T17:56:02.803-06:00,2026-09-15T17:56:33.164-06:00
17,10.215.173.1,7100,190.217.19.180,7102,10265,Movie,com.movievn.cinevi,UDP,Error,,39,0,1,0,2026-09-15T17:56:02.804-06:00,2026-09-15T17:56:02.804-06:00
17,10.215.173.1,7100,189.203.102.190,3110,10265,Movie,com.movievn.cinevi,UDP,Cerrado,,156,156,4,4,2026-09-15T17:56:02.806-06:00,2026-09-15T17:56:36.303-06:00
17,10.215.173.1,7100,190.107.228.113,7102,10265,Movie,com.movievn.cinevi,UDP,Cerrado,,663,156,17,4,2026-09-15T17:56:02.808-06:00,2026-09-15T17:56:30.472-06:00
17,10.215.173.1,7100,200.68.183.113,25680,10265,Movie,com.movievn.cinevi,UDP,Cerrado,,195,0,5,0,2026-09-15T17:56:02.809-06:00,2026-09-15T17:56:33.164-06:00
17,10.215.173.1,7100,181.178.90.116,7102,10265,Movie,com.movievn.cinevi,UDP,Error,,39,0,1,0,2026-09-15T17:56:02.810-06:00,2026-09-15T17:56:02.810-06:00
17,10.215.173.1,7100,181.65.66.176,7103,10265,Movie,com.movievn.cinevi,UDP,Error,,39,0,1,0,2026-09-15T17:56:02.811-06:00,2026-09-15T17:56:02.811-06:00
17,10.215.173.1,7100,187.243.52.58,54501,10265,Movie,com.movievn.cinevi,UDP,Cerrado,,2307,541721,15,439,2026-09-15T17:56:02.813-06:00,2026-09-15T17:56:35.425-06:00
17,10.215.173.1,7100,84.232.25.21,7100,10265,Movie,com.movievn.cinevi,UDP,Cerrado,,195,0,5,0,2026-09-15T17:56:02.814-06:00,2026-09-15T17:56:33.162-06:00
17,10.215.173.1,7100,201.143.177.118,7100,10265,Movie,com.movievn.cinevi,UDP,Cerrado,,3296,423180,14,340,2026-09-15T17:56:02.816-06:00,2026-09-15T17:56:38.433-06:00
17,10.215.173.1,7100,187.190.185.41,8367,10265,Movie,com.movievn.cinevi,UDP,Cerrado,,15409,2238416,66,1780,2026-09-15T17:56:02.818-06:00,2026-09-15T17:56:30.807-06:00
17,10.215.173.1,7100,201.142.147.205,7100,10265,Movie,com.movievn.cinevi,UDP,Cerrado,,195,195,5,5,2026-09-15T17:56:02.819-06:00,2026-09-15T17:56:36.637-06:00
17,10.215.173.1,7100,187.246.143.248,7100,10265,Movie,com.movievn.cinevi,UDP,Cerrado,,156,156,4,4,2026-09-15T17:56:02.821-06:00,2026-09-15T17:56:37.878-06:00
17,10.215.173.1,7100,187.246.13.55,7100,10265,Movie,com.movievn.cinevi,UDP,Cerrado,,6827,1898620,23,1512,2026-09-15T17:56:02.822-06:00,2026-09-15T17:56:34.934-06:00
17,10.215.173.1,7100,200.50.232.20,7101,10265,Movie,com.movievn.cinevi,UDP,Cerrado,,195,0,5,0,2026-09-15T17:56:02.823-06:00,2026-09-15T17:56:33.161-06:00
17,10.215.173.1,7100,187.241.11.48,13911,10265,Movie,com.movievn.cinevi,UDP,Cerrado,,17841,3196046,73,2542,2026-09-15T17:56:02.825-06:00,2026-09-15T17:56:29.027-06:00
17,10.215.173.1,7100,187.188.62.90,18933,10265,Movie,com.movievn.cinevi,UDP,Cerrado,,3296,423180,14,340,2026-09-15T17:56:02.826-06:00,2026-09-15T17:56:38.270-06:00
17,10.215.173.1,7100,192.81.249.102,7100,10265,Movie,com.movievn.cinevi,UDP,Cerrado,,6104,423102,86,338,2026-09-15T17:56:02.827-06:00,2026-09-15T17:56:38.867-06:00
17,10.215.173.1,7100,209.178.128.102,7100,10265,Movie,com.movievn.cinevi,UDP,Error,,39,0,1,0,2026-09-15T17:56:05.810-06:00,2026-09-15T17:56:05.810-06:00
